start_time_ns,duration,label,metadata
2039502381059790,531420,TX,"size_bytes=1262|tx=7aa2dcdae96fc2db77322a516f4d03f1ff674e8dfe12551a0e0ae68d4c106cbc"
2039502381597900,78480,TX,"size_bytes=225|tx=bb29c4cceba772507dcaa4c656899314d935ef794242a7a168aee52ee927af9a"
2039502381681920,127490,TX,"size_bytes=370|tx=705a0489531e1c7136adbe88fc6ef68887107237d28e31bbb706226610e2fe3d"
2039502381814620,80050,TX,"size_bytes=393|tx=176a77aad33ef407d25bd17883db1a26072f956a422cad6e76747c1dd47b6992"
2039502381899140,151230,TX,"size_bytes=341|tx=364dfd0f103055d11fd63de1531944a801267c56106782b6f446c88dde5a9e2e"
2039502382055960,86450,TX,"size_bytes=223|tx=fe3555370deb5ec0a732953f03e522604ab644c5d7297beb9cc4429329bcbf78"
2039502398946321,21648292,TX,"size_bytes=41346|tx=3ef3625fe78fc51207efd22b9e7fd929ad301f457e42a7a643836707f622f898"
2039502420625003,115980,TX,"size_bytes=223|tx=2fa494e44f6055e3597e5af588935442c4c9f2b4e16dfc98ef8835c9aa9579a2"
2039502420744713,142580,TX,"size_bytes=372|tx=3154744ccaa8d5adbed0229a327c5798f8bd63bf27b7c09b2be74332a89c9db1"
2039502420895173,89040,TX,"size_bytes=312|tx=799b100116cfb42f34d2911be3ac557f4051ad9d950a6bc9f1b41d60dbbca480"
2039502420989343,97580,TX,"size_bytes=234|tx=cebddce5e0c9ea33b3695bf3cf8704f42e829c8b0685a8d6101a2f7a8bc54965"
2039502421091193,80530,TX,"size_bytes=450|tx=df19889ea8920e04cf62bd2c7edb0774039d982f51b4a466796e1aac424e533a"
2039502421178063,75380,TX,"size_bytes=205|tx=e3f28fd347300ab0d8dd5b1f941ee74c9830d9f238f02156d40e22791b952d2c"
2039502421258123,81080,TX,"size_bytes=191|tx=52d17ab3e5912e74d97c629697f247ab16c961c53e637660cd5be7a0d929fa3e"
2039502421343423,73920,TX,"size_bytes=191|tx=fba60d3940eb649ae399d90584b370e0feafe46a4747d7b763908cfe8b2df105"
2039502421421483,75190,TX,"size_bytes=191|tx=537e9725d01168d4f8de0b956233765b903be3ae91344ef4b048a35187488843"
2039502421501603,226090,TX,"size_bytes=699|tx=781490900f48c88dd580fead9ebd3d7b08856066d73f5ec58f930307e061e40e"
2039502421733183,140640,TX,"size_bytes=370|tx=e94345118cf51587c7cc1fdc9fa8ba2fd6568789fe4296f6019016a8db7f1190"
2039502421879893,176880,TX,"size_bytes=327|tx=54caf912c4132838b6731ae5c945fe4afdcce79ec11cd5b521f5eb02ebca2679"
2039502422067943,183280,TX,"size_bytes=321|tx=12e906231e59d11ce3695e79abdb7a0e393fee6a3d1a1bb3818be394c211bd06"
2039503977871629,23440,INV,"size_bytes=145"
2039503986503289,152930,TX,"size_bytes=223|tx=d5b698a337cd439d0f85e3509303e9074a0db60137f0ff167cbfbd32513c3253"
2039504004078091,21506871,TX,"size_bytes=41344|tx=4673f15e6ae60bb332bcbb2e90cea31a14913538adab63d9588dd9b6ea200a6c"
2039504025619302,164230,TX,"size_bytes=371|tx=64bedefc4fb9d0484aab349932af6f72e16d725f2cb78eb20323cd49053758a7"
2039504025787212,169350,TX,"size_bytes=223|tx=c2091ca8104c6b615a83b81ab5855514954bb3c9f3debd8591e8c69a5bee8770"
2039506595658033,37810,INV,"size_bytes=361"
2039506603191824,148990,TX,"size_bytes=223|tx=c9125699666e7454e0d8fe24a6b505bbc459efa217104481ad3023ef10789229"
2039506603348144,105290,TX,"size_bytes=222|tx=b618ffc49828b5147be2e56793ab293aa376e227ce0b5d04da4790843d236cc2"
2039506603460774,86490,TX,"size_bytes=248|tx=32c66e4289f88a5b6ca93b1785213f8f74b7f68994406d77e5289db00a121249"
2039506603551194,135910,TX,"size_bytes=383|tx=3ea052f843599340123086970e155d96e1d30ee3b5670228dd0667d4bb8a8512"
2039506603693374,85780,TX,"size_bytes=151|tx=903940de756a13102be0ab31023ad58de33521724898fe30e8bb05ededea1149"
